id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
639,Office of Public Works: State industrial Staff,306,NULL,10.15,NULL,13.79,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279268/0062d1a6-e4f8-4aae-b390-e160027ad91a.pdf#page=null,2023,NULL,NULL,4.7,8.68,NULL,NULL,NULL,NULL,31.29,68.71,16.67,83.33,10.2,89.8,13.61,86.39,24,76,NULL
640,Our Lady's Hospice and Care Services,309,NULL,-2,NULL,-11,https://olh.ie/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023_FINAL.pdf,2023,4,-11,10,10,NULL,NULL,NULL,NULL,76,24,78,22,85,15,85,15,81,19,NULL
641,Paypal,310,24.3,16.5,39.4,16.8,https://www.paypalobjects.com/marketing/web/ie/en/Ireland%20Gender%20Pay%20Gap%20Report_22-23_final.pdf,2023,-4.9,-6.9,24.3,39.4,99.7,99.4,100,100,62.4,37.6,53.5,46.5,49.5,50.5,45.4,54.6,53,47,NULL
642,Pepper,311,52.37,23.74,34.52,21.9,https://pepper-advantage.com/hubfs/Consumer%20Facing%20Website/v4%20Pepper%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,-14.6,-15.86,-18.29,-62.05,76,69,84,79,65,35,62,38,62,38,42,58,NULL,NULL,NULL
643,PTSB (Permanent TSB),312,48,16.3,NULL,9.2,https://www.ptsb.ie/globalassets/pdf-documents/csr-responsible-business/ptsb-gender-pay-gap-report-2023.pdf,2023,-26.6,-55.5,4.5,3.9,14.6,7.1,57.5,49.5,55.4,44.6,56.7,43.3,60.8,39.2,39.5,60.5,NULL,NULL,NULL
644,Peter Mark,313,0,19,NULL,0,https://www.petermark.ie/gender-pay-report/,2023,-8,-18,NULL,NULL,NULL,NULL,NULL,NULL,96,4,93,7,94,6,89,11,90,10,NULL
645,Pfizer Ireland (all legal entities),314,8.6,10.5,-5.8,8.3,https://www.pfizer.ie/files/Pfizer-Ireland-Gender-Paygap-Report-2023.pdf,2023,NULL,NULL,NULL,NULL,92.9,93.4,91.1,93,48.5,51.5,41,59,40.7,59.3,30.6,69.4,40,60,NULL
646,PJ Hegarty & Sons,315,51,25,0,29,https://www.pjhegarty.ie/wp-content/uploads/2023/12/PJ-Hegarty-Gender-Pay-Gap-2023-Reduced-Size.pdf,2023,NULL,NULL,NULL,NULL,100,100,13,57,26,74,17,83,4,96,7,93,NULL,NULL,NULL
647,PM Group,316,49.6,30.3,36.2,31.4,https://secure.viewer.zmags.com/publication/51f62ae2#/51f62ae2/1,2023,13.7,26.7,28.5,0.3,91.5,93.3,91.5,93.9,44.4,55.6,44.8,55.2,23.6,76.4,13.6,86.4,32,68,NULL
648,PricewaterhouseCoopers (PwC),318,6.4,1.6,-7.3,-7.8,https://www.pwc.ie/publications/2023/2023-gender-pay-gap-report.pdf,2023,39.8,57.9,-0.4,-0.3,56,56.8,96.6,95.8,50.6,49.4,57.7,42.3,57,43,54.1,45.9,NULL,NULL,NULL
649,Regeneron,322,22.6,15.5,-6.6,5.9,https://www.regeneron.ie/downloads/ireland-gender-pay-gap-report.pdf,2023,NULL,NULL,2.7,0,77.1,82.6,85.9,90.6,51.5,48.5,51.2,48.8,47.1,52.9,41.7,58.3,48,52,NULL
650,Respond,324,NULL,20.47,NULL,25.33,https://www.respond.ie/wp-content/uploads/2023/12/8881-Respond-Gender-Pay-Gap-Report-v13.pdf,2023,6.12,7.18,26.06,2.32,NULL,NULL,NULL,NULL,80,20,82,18,78,22,50,50,72,28,NULL
651,Rexel: Kellihers Electrical,325,15.64,5.7,17.1,5.4,https://s3.eu-west-1.amazonaws.com/s3-media-offload-kellihers.com/wp-content/uploads/2023/12/Pay-Gap-Report-2023.pdf,2023,12.4,8.8,22.5,16.2,79.07,87.97,11.63,18.91,19,81,25,75,18,82,17,83,19,81,NULL
652,River Island,326,NULL,2,NULL,0,https://images.riverisland.com/image/upload/v1702897920/0_20231812_ROI_GENDER_PAY_REPORT_v8.pdf,2023,1.8,0,NULL,NULL,NULL,NULL,NULL,NULL,84.4,15.6,83.5,16.5,70.9,21,84.4,15.6,83,17,NULL
653,RPS Group Limited,329,22.8,19.7,16.9,26,https://www.rpsgroup.com/media/wr1crgs0/roi-gender-pay-gap-report-2023-14_12_23.pdf,2023,10.9,23.8,36.3,43.4,2.5,7.5,NULL,NULL,41.4,58.6,32.7,67.3,18.3,81.7,16.5,83.5,27.3,72.7,NULL
654,RSA (Road Safety Authority),330,NULL,8.41,NULL,5.94,https://www.rsa.ie/docs/default-source/about/rsa-gender-pay-gap-reporting-2023.pdf?Status=Master&sfvrsn=e13733c6_3/,2023,10.46,20.32,10.8,39.86,NULL,NULL,NULL,NULL,74,26,35.8,64.2,38.8,61.2,42,58,48,52,NULL
655,RSA Insurance Ireland (DAC),331,45.5,26.1,44.3,31,https://www.rsagroup.ie/sites/default/files/RSA%20Insurance%20Ireland%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,NULL,NULL,NULL,NULL,94,87.6,58.2,56.9,62.4,37.6,64.8,35.2,50,50,36.7,63.3,53.5,46.5,NULL
656,Sanofi: Genzyme Ireland Ltd,335,19.4,8.9,-5.1,5.6,https://web.archive.org/web/20230403123851/https://www.sanofi.ie/dam/jcr:3e3b4eeb-98ce-492b-a1dc-5dd8261f8fd7/22_157%20-%20genzyme%20-%20gender%20pay%20guide%20-%202022%20-%20221208a%20-%20mb.pdf,2023,-137.1,-194.3,-2.5,-8.1,87,91.1,84.8,88.9,37.8,62.2,48.8,51.2,42.3,57.7,33.6,66.4,NULL,NULL,NULL
657,Sherry Fiztgerald,341,3,29,14,30,https://sfgmedia.blob.core.windows.net/upload/structured_content/file_link/SherryFitzGeraldGenderPayReport2023.pptx,2023,NULL,NULL,NULL,NULL,47,53,NULL,NULL,46,54,60,40,72,28,67,33,61,39,NULL
658,SIPTU,342,11.5,12.2,33.3,10,https://www.siptu.ie/aboutsiptu/genderpaygapreport/file_23857_en.pdf,2023,NULL,NULL,NULL,NULL,93.8,85.2,36.6,82,53.7,46.3,86.6,13.4,44.8,55.2,31.8,68.2,54,46,NULL
659,Sligo County Council,344,NULL,1.91,NULL,-6.15,https://www.sligococo.ie/News/2023GenderPayGapReport/SCC%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,-14.42,-16.86,-5.99,0,NULL,NULL,NULL,NULL,30.65,69.35,33.33,66.67,56.56,43.44,29.84,70.16,38,62,NULL
660,Smyths Toys,346,33,2,1,0,https://www.smythstoys.com/ie/en-ie/gender-pay-gap,2023,0,0,0,-1,62,56,12,13,47,53,49,51,54,46,47,53,NULL,NULL,NULL
661,Society of St. Vincent de Paul,347,NULL,0.1,NULL,-9.1,https://www.svp.ie/wp-content/uploads/2023/12/SVP-Gender-Pay-Gap-Report-2023.pdf,2023,-2.9,-0.5,5,4.9,NULL,NULL,68,56,68.4,31.6,58.7,41.3,76.9,23.1,67.9,32.1,68,32,NULL
662,Sodexo,348,-6.17,9.94,12.5,12.78,https://ie.sodexo.com/files/live/sites/com-ie/files/Home/Positive%20Impact/ROI_Gender_Ethnicity_Pay_Gap_Report.pdf,2023,1.48,3.23,-26.15,4.09,6.7,8.7,2,5,53,47,57,43,56,44,55,45,55,44,NULL
663,South Dublin County Council,349,NULL,-9.92,NULL,-18.51,https://www.sdcc.ie/en/our-performance/gender-pay-gap-report/2023-gender-pay-gap-report.pdf,2023,-27.14,-27.92,-28.72,-22.74,NULL,NULL,6.26,11.85,30.91,69.09,38.1,61.9,62.74,37.26,55,45,47,53,NULL
664,SSE Airtricity,351,52.3,24.4,44.6,24.4,https://www.sse.com/media/u10h3tyy/sse-ireland-gpg-report-2023-v3.pdf,2023,21.3,8.5,-1.2,16.2,69.4,78.3,68.9,65.9,57.3,42.7,47.6,52.4,34.2,65.8,23.6,76.4,40.7,59.3,NULL
665,Stripe,353,-49.5,-18.1,10.1,0.8,https://assets.ctfassets.net/fzn2n1nzq965/3dxPPcPNTrutteKYgNLErC/0ad35ed21cb923a734f3f8ba8d8c5cfb/Ireland_Gender_Pay_Gap_Report_2023.pdf,2023,NULL,NULL,NULL,NULL,99,99,100,100,42.4,57.6,47.3,52.7,40.2,59.8,47.3,52.7,NULL,NULL,NULL
666,Stryker,354,17.4,12.1,15.6,11.8,https://www.stryker.com/content/dam/stryker/about/our-locations/ireland/gender-pay-gap-report/2023/COMM-GSNPS-OTHD-866220%20110623%20Ireland%20gender%20pay%20gap.pdf,2023,-7.2,-4.4,6.7,5.8,90.8,93.7,87.8,85.8,49,51,41,59,38,72,25,75,36,64,NULL
667,Sysco Ireland,356,-32.4,4.8,0,13.7,https://issuu.com/syscoireland/docs/sysco_ireland_pay_gap_report_f?ff,2023,-13,-6.1,10.7,4.8,84.6,83.5,21,13,38,62,17,83,5,95,25,75,NULL,NULL,NULL
668,Tayto Snacks,358,35.2,8.68,16.56,4.05,https://taytosnacks.ie/wp-content/uploads/2023/12/Tayto-Snacks-2023-Gender-Pay-Report.pdf,2023,0.44,-11.81,-84.46,-84.46,96.64,96.43,8.4,10.71,45.67,54.33,26.26,73.74,31.58,68.42,26.83,73.17,34.7,65.3,NULL
669,TCS (Tata Consulting Services),359,2.3,6,9.9,7.4,https://www.tcs.com/who-we-are/worldwide/uk/tcs-ireland-gender-pay-gap-report,2023,-19.9,-1.5,-12.6,-13.7,91.5,97.2,86.8,80.2,45,55,31,69,33,67,31,69,36,64,NULL
670,Teagasc,360,NULL,11,NULL,18,https://www.teagasc.ie/media/website/about/our-organisation/gender-and-equality/Gender-Pay-Gap_TeagascReport2023.pdf,2023,3,1,0.1,2,NULL,NULL,NULL,NULL,41,59,49,51,34,66,25,75,40,60,NULL
671,Technological University Dublin,361,NULL,12.68,NULL,15.05,https://www.tudublin.ie/media/website/explore/about-the-university/gender-pay-gap/Gender-Pay-Gap-Report-2023-FINALv1.pdf,2023,5.68,0,19.84,18.68,NULL,NULL,NULL,NULL,54.99,45.01,54.59,45.41,42.4,57.6,36.63,63.67,47,53,NULL
672,Tesco Ireland,363,47.54,8.78,14.31,4.37,https://tescoireland.ie/media/vphhbyri/d14390-tesco-gender-pay-gap-2023-dec-23-13.pdf,2023,1.38,2.12,6.75,0.6,71.37,67.61,6.17,6.41,55,45,64,36,47,53,46,54,NULL,NULL,NULL
673,The Irish Times,370,-37.61,4.24,0,8.15,https://irishtimes-pdfs.s3.eu-west-1.amazonaws.com/Gender+Pay+Gap+Reports/Gender-Pay-Gap-Report-2023.pdf,2023,-45.15,-59.34,4.31,11.78,80.43,82.56,5.07,4.42,36,64,30,70,31,69,25,75,NULL,NULL,NULL
674,The Revenue Commissioners,371,NULL,1.88,NULL,-1.16,https://www.revenue.ie/en/corporate/statutory-obligations/gender-pay-gap/documents/2023.pdf,2023,-8.4,-2.44,5.41,1.84,NULL,NULL,0.05,0.03,60,40,61,39,69,31,55,45,NULL,NULL,NULL
675,TikTok,372,-2.9,2.6,-2.3,-0.6,https://newsroom.tiktok.com/en-ie/ie-2023-gender-pay-gap-report,2023,NULL,NULL,NULL,NULL,95.8,94.5,100,100,49,51,48.6,51.4,51.9,48.1,49.5,50.5,NULL,NULL,NULL
676,Tipperary County Council,373,NULL,-4.8,NULL,-16.6,https://www.tipperarycoco.ie/sites/default/files/2023-12/Tipperary%20County%20Council%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,-11.81,-2.99,-10.38,-44.52,NULL,NULL,0,0.12,34.78,65.22,10.25,89.75,53.7,46.3,45.94,54.06,36,64,NULL
677,TJX Ireland,375,4.5,5.1,8.1,-0.4,https://www.tjx.com/docs/default-source/corporate-responsibility/tjx-ireland-gender-pay-gap-statement-2023.pdf,2023,-2.8,-0.9,NULL,NULL,20.9,18.9,8.6,6.8,30,70,27,73,24,76,27,73,NULL,NULL,NULL
678,Top Oil,376,30.7,32.3,23.8,40.7,https://web.archive.org/web/20230403192807/https://www.top.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-Final.pdf,2023,1.1,-0.4,31.5,25,NULL,NULL,100,100,62.5,37.5,68.3,31.7,64.1,35.9,22.2,77.8,54.3,45.7,NULL
679,Transport Infrastructure Ireland (TII),377,NULL,16.23,NULL,16.52,https://www.tii.ie/news/press-releases/tii-gender-pay-gap-reportin-2023/TII-Gender-Pay-Gap-Report-2023-ISSUE.pdf,2023,NULL,NULL,2.78,1.89,NULL,NULL,0,0.53,52,48,40,60,33,67,18,82,36,64,NULL
680,Trend Micro,378,15.2,8,1.2,0.4,https://www.trendmicro.com/en_ie/about/trust-center/company/ie-gender-gap.html,2023,NULL,NULL,-0.8,-9,91.9,88.6,82.9,78.4,47.3,52.7,28.4,71.6,41.1,58.9,33.8,66.2,38,62,NULL
681,Tusla Child and Family Agency,380,NULL,4,NULL,2,https://www.tusla.ie/uploads/content/Gender_Pay_Gap_Report_2023.pdf,2023,-6,-6,5,3,NULL,NULL,NULL,NULL,85,15,81,19,83,17,80,20,83,17,NULL
682,Uniphar: Hickey's Pharmacy Group Limited,382,36.1,31,0,47.4,https://uniphar.euwest01.umbraco.io/media/yspdfxf5/hickeys-pharmacy-gender-pay-gap-report-2023.pdf,2023,-26.4,-19.9,-51.6,-25.9,71.6,59,NULL,NULL,90.1,9.9,95.1,4.9,92.6,7.4,74.1,25.9,88,12,NULL
683,Uniphar: Uniphar Wholesale Limited,384,89.7,29.7,0,5.3,https://uniphar.euwest01.umbraco.io/media/1rsdqdnj/uniphar-wholesale-gender-pay-gap-report-2023.pdf,2023,-9.1,0.9,-9.1,15,89.4,90.7,5.9,9.7,54.3,45.7,68.3,31.7,60,40,47.5,52.5,58,42,NULL
684,Uniphar: Allcare Pharmacy,533,69.3,38.2,72.4,60.7,https://uniphar.euwest01.umbraco.io/media/xudifbny/atelabaz-gender-pay-gap-report-2023.pdf,2023,36.6,31.7,34.3,34.3,78.4,79,NULL,NULL,98,2,97,3,92.1,7.9,75,25,91,9,NULL
685,Uniphar: McCauley Pharmacy,532,38.7,43.3,0,44.3,https://uniphar.euwest01.umbraco.io/media/swthfutq/mccauleys-pharmacy-gender-pay-gap-report-2023.pdf,2023,35.7,18.2,-1.8,0,75,77.3,1.2,10.6,93.3,6.7,94.1,5.9,87.4,12.6,69.5,30.5,86,14,NULL
686,Uniphar: Medtech (formerly SISK Healthcare),383,36.9,20.5,37.4,25.2,https://uniphar.euwest01.umbraco.io/media/fy0c4xsd/medtech-gender-pay-gap-report-2023.pdf,2023,-49.1,-76,-151.9,-74,86,92.2,46.5,65.4,53.7,46.3,47.8,52.2,35.8,64.2,33.3,66.7,43,57,NULL
687,University College Cork (UCC),385,NULL,14.78,NULL,12.04,https://www.ucc.ie/en/media/aboutucc/presidentx27soffice/documents/UCCGenderGapReport2023.pdf,2023,33.68,27.72,10.8,9.57,NULL,NULL,NULL,NULL,61.62,38.38,62.71,37.29,56.4,43.6,44.61,55.39,56.33,43.67,NULL
688,University College Dublin (UCD),386,NULL,9.36,NULL,7.32,https://www.ucd.ie/president/t4media/UCD%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,6.16,5.62,1.97,-1.16,NULL,NULL,0.1,0.29,56.13,43.87,63.49,36.51,58.02,41.98,47.41,52.59,NULL,NULL,NULL
689,University of Limerick,387,NULL,11.5,NULL,11,https://www.ul.ie/media/41756/download?inline=,2023,10,2,13,20,NULL,NULL,NULL,NULL,53,47,63,37,53,47,67,54,NULL,NULL,NULL
690,Utmost International Ireland,388,19,11,5.5,4,https://utmostinternational.com/wp-content/uploads/2023/12/Utmost-International-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,NULL,NULL,-8,-9,93,87,71,58,49,51,58,42,54,46,43,57,51,49,NULL
691,Valeo Foods,389,34.3,2.75,38.28,-6.47,https://valeofoods.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Narrative-2023_final.pdf,2023,6.38,-46.23,22.12,22.12,74.1,67.08,8.63,28.31,26.72,73.28,29.31,70.69,31.9,68.1,31.9,68.1,NULL,NULL,NULL
692,Veolia,390,-16.94,17.38,-20.84,27.15,https://www.veolia.ie/sites/g/files/dvc2576/files/document/2023/12/Veolia%20Ireland%20-%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,23.72,50.44,20.52,18.51,59.46,54.65,89.19,83.87,33.13,66.88,16.87,83.13,11.25,88.75,8.81,91.19,17.4,82.6,NULL
693,Version 1,391,47,8.3,16.6,7.6,https://www.version1.com/wp-content/uploads/2023/12/2023-Graphs-Gender-Pay-Gap-Ireland-Only.pdf,2023,-15.2,-6.8,18.4,26.7,93,95,69,78,46,54,32.9,66.9,28.5,71.5,27.6,72.4,32.5,67.5,NULL
694,VHI,392,34,21,20,20,https://www.vhi.ie/downloads/vhi-gender-pay-gap-report-2023.pdf,2023,51,50,28,0,89,90,96,95,73,27,79,21,73,27,51,49,31,69,NULL
695,Vodafone (all legal entities),394,23.7,5.1,16.8,12.6,https://n.vodafone.ie/content/dam/gowingmyself/pdfs/Ireland-Vodafone-Gender-Pay-Gap-Report-2023.pdf,2023,-21.6,-11.3,1.7,-40.2,94,95,95,96,42,58,43,57,37,63,28,72,NULL,NULL,NULL
696,Waterford City & County Council,395,NULL,2.09,NULL,-4.92,https://waterfordcouncilnews.com/wp-content/uploads/2023/12/Waterford-City-and-County-Council-Gender-Pay-Gap-Report-for-2023_FINAL.pdf,2023,-5.43,16.28,-1.48,-12.73,NULL,NULL,0.58,1.46,43.41,56.59,8.49,91.51,45.88,54.12,36.58,63.42,34,66,NULL
697,Westmeath County Council,396,NULL,-1.61,NULL,-10.64,https://www.westmeathcoco.ie/en/media/WCCGenderPayGapReport2023.pdf,2023,-9.81,-2.38,-8.03,-4.93,NULL,NULL,NULL,NULL,31.47,68.53,14.08,85.92,66.9,33.1,38.46,61.54,38,62,NULL
698,Wexford County Council,397,NULL,-0.51,NULL,-10.04,https://www.wexfordcoco.ie/sites/default/files/content/Gender-Pay-Gap-Report-for-2023-Final.pdf,2023,2.38,15.7,24.56,11.93,NULL,NULL,NULL,NULL,51.76,48.24,18.5,81.5,41.96,58.04,46.67,53.33,40,60,NULL
699,Wicklow County Council,398,NULL,-5.23,NULL,-5.77,https://www.wicklow.ie/Portals/0/adam/Documents/Apty24zoL0CGLMD75_woZg/Link/WCC%20-%20Gender%20Pay%20Gap%20Report%20for%202023.pdf,2023,-1.9,18.34,-8.17,-1.22,NULL,NULL,0,1.03,53.27,46.73,16.43,83.57,50.47,49.53,51.87,48.13,43,57,NULL
700,William Fry (excluding partners),399,1.3,-6.6,0,-6.8,https://www.williamfry.com/wp-content/uploads/2023/12/WF_Gender_Pay_Gap_Report_2023_24.pdf,2023,-10.2,-10.5,-20.7,0,89.2,88.3,86,77,59,41,71,29,71,29,67,33,68,32,NULL
701,Windsor Motor Group,400,28.8,8.15,-35.4,1.6,https://web.archive.org/web/20240115224351/https://nd-mediagallery2-public-production.s3.amazonaws.com/2282c91aaa208b95e43a356c01546ccd/windsor_gender_pay_report_2023.pdf,2023,-2.5,-35.4,NULL,NULL,78,86,30,30,12,88,25,75,17,83,15,85,17,83,NULL
702,3M,1,51,9.1,15,2,https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2023.pdf,2023,NULL,NULL,NULL,NULL,26,15,95,97,33,65,34,66,37,63,27,73,NULL,NULL,NULL
703,Workhuman,402,28,24,15,30,https://www.workhuman.com/gender-pay-gap-report/dublin-2023/,2023,45,55,2,-5,100,100,88,94,65,35,59,41,34,66,31,69,44,49,NULL
704,WuXi Biologics,404,12.89,10.2,14.1,14.1,https://www.wuxibiologics.com/wp-content/uploads/WuXi-Biologics-Gender-Pay-Gap-Report.pdf,2023,NULL,NULL,NULL,NULL,68.89,67.74,77.22,75.27,55.65,44,41.74,58,28,70,29.82,70,40,60,NULL
705,Zendesk,405,32.6,20.4,16.2,16.1,https://web-assets.zendesk.com/pdf/Ireland_GPG_Report.pdf,2023,NULL,NULL,31.8,9.1,96.2,95.6,95.7,95,49.2,50.8,36.6,63.4,24.6,75.4,24.4,75.6,NULL,NULL,NULL
706,Zoetis Belgium S.A. (Irish Branch) ,406,13.1,13.2,7.5,9.7,https://www2.zoetis.ie/content/_assets/PDFs/Zoetis-Irish-Branch-Gender-Pay-Gap-Report2023Final.pdf,2023,NULL,NULL,NULL,NULL,82.1,79.3,93.8,88.8,50,50,33.9,66.1,32.1,67.9,31.8,68.2,NULL,NULL,NULL
708,AA,3,-51,5,-34,16,https://www.theaa.ie/wp-content/uploads/2023/12/2023-AA-Ireland-Gender-Pay-Gap-Report.pdf,2023,-63,7,2,23,73,77,36,29,57,43,30,70,16,84,26,73,32,68,NULL
709,Abbott Ireland (all legal entities),4,15.7,10.2,5.9,7.5,https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/GenderPayGap-Ireland2023.pdf,2023,-30.2,-26,8.2,2.2,81.9,79.1,84,82.2,49.7,50.3,51.2,48.8,47.3,52.7,37,63,NULL,NULL,NULL
710,Abtran,10,41.79,13.9,0,1.58,https://www.abtran.com/wp-content/uploads/2023/12/Abtran-Gender-Pay-Gap-Report-2023.pdf,2023,-5.51,-3.07,25.76,26.03,38.45,40.06,1.71,0.06,60.98,39.02,57.62,42.38,59.95,40.05,48.58,51.42,NULL,NULL,NULL
711,AerCap,14,66,52,46,31,https://www.aercap.com/_assets/_e78ed700b44da86de406d18d8cfb531f/aercap/db/655/13440/pdf/AerCap+Gender+Pay+Gap+Report+2023.pdf,2023,NULL,NULL,NULL,NULL,86,92,86,93,71,29,48,52,42,58,29,71,44,66,NULL
712,Airbnb Ireland UC,17,14.7,21.5,31.3,23.7,https://news.airbnb.com/wp-content/uploads/sites/4/2023/12/Airbnb-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,NULL,NULL,NULL,NULL,96.8,97.6,100,100,63.9,36.1,60.4,39.6,57.3,42.7,48.5,51.5,58,42,NULL
713,ALDI Ireland,19,-3.9,12.49,0,2.56,https://cdn.aldi-digital.co.uk/70nm4STH02n@@19iswh1AoIfTTA.pdf,2023,2.15,1.24,-14.47,-24.38,9.7,7.8,16.1,21.5,54,46,54,46,51,49,41,59,NULL,NULL,NULL
714,Allianz Ireland,21,32.08,19.72,27.84,16.2,https://www.allianz.ie/content/dam/onemarketing/azie/allianz-ireland/en_us/documents/about/Allianz_Ireland_Gender_Pay_Gap_Dec_23_V12.pdf,2023,-8,-7.53,7.04,1.72,85.98,88.14,69.6,78.42,60.9,39.1,54.49,45.51,57.69,42.31,37.42,62.58,NULL,NULL,NULL
715,Amundi Ireland,25,68,39.8,25,16.1,https://www.amundi.ie/retail/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_c4a1de2f-a6f8-4443-921e-66ee7186a171_inline,2023,30.5,30.8,19.2,-0.7,96.8,92.3,96,96.2,42.7,57.3,36.7,63.3,41.8,58.2,17.8,82.2,34.7,65.3,NULL
716,An Garda Síochána: Garda Members,26,NULL,4.86,NULL,3.87,https://www.garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2023.pdf,2023,-10.5,-6.51,NULL,NULL,NULL,NULL,NULL,NULL,37,63,34,66,24,76,18,82,33,67,NULL
717,An Garda Síochána: Garda Staff,27,NULL,3.1,NULL,-9.6,https://www.garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2023.pdf,2023,-6.47,-21.57,-2.07,-1.25,NULL,NULL,NULL,NULL,66,34,66,34,85,16,67,33,71,29,NULL
718,Applegreen,31,58.68,8.15,63.77,0.46,https://applegreenstores.com/wp-content/uploads/2023/12/AG-Gender-Pay-Gap_2023.pdf,2023,0.85,0.78,NULL,NULL,21,15,4.1,3,55.8,44.2,52.1,47.9,50,50,52.7,47.3,53,47,NULL
719,Bank of America,53,46,21.5,29.1,18.4,https://about.bankofamerica.com/content/dam/about/report-center/gpgr/2023/Ireland-gender-pay-report-2023.pdf,2023,NULL,NULL,NULL,NULL,79.1,77.2,96.9,95.7,47,53,52,48,33,67,29,71,40,60,NULL
720,Beckman Coulter Ireland Inc,58,7.3,-7.2,4.8,-5.6,https://media.beckmancoulter.com/-/media/diagnostics/corporate/docs/pdfs/2022-2023_ireland_gender_pay_report.pdf?rev=1496283f8dca43088381ba7b77004182&hash=D6EC762A715E6C56EAB97AE640ACE4A7,2023,17.1,9,-6.7,-10,93,94.1,91.1,94.5,59.6,40.4,42.6,57.4,46,54,40.1,59.9,NULL,NULL,NULL
721,Becton Dickinson Research Centre Ireland Limited,59,1,5,0,6,https://www.bd.com/documents/international/corporate/Becton%20Dickinson%20Research%20Centre%20Ireland%20Limited%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,NULL,NULL,NULL,NULL,77,80,NULL,NULL,35,65,46,54,29,71,19,81,NULL,NULL,NULL
722,BioMarin,62,15.9,11.4,-23.8,-1.1,https://www.biomarin.eu/wp-content/uploads/2023/12/BioMarin-GenderPayGap-Report2023-d5.pdf,2023,NULL,NULL,NULL,NULL,92,94.2,99.2,99.4,52.1,47.9,34,66,45.8,54.2,41.7,58.3,43,57,NULL
723,Bord na Mona,70,-29.26,-10.15,-14,-14.57,https://www.bordnamona.ie/wp-content/uploads/2023/12/Bord-an-Mona-Gender-Pay-Gap-2023-Report.pdf,2023,-14.57,-23.23,55.65,61.55,38.59,37.09,10.37,7.69,21.26,78.74,12.61,87.39,13.81,86.19,24.62,75.38,NULL,NULL,NULL
724,Cairn Homes,77,24.3,19.5,15.3,23.6,https://www.cairnhomes.com/media/sixnku3x/cairn-gpg-report-2023-98-read-only.pdf,2023,NULL,NULL,42.6,43.7,88,90,90,77,47,53,26,74,17,83,17,83,27,73,NULL
725,Citibank Europe Plc Ireland (CEP Ireland),93,26,11,26,16,https://www.citigroup.com/rcs/citigpa/storage/public/IrelandGenderPayGapReport2023.pdf,2023,NULL,NULL,-6,-14,86,86,98,98,44,56,51,49,60,40,63,37,NULL,NULL,NULL
726,Coillte,97,5.58,-14.34,0,-11.77,https://www.coillte.ie/wp-content/uploads/2023/12/Coillte-Gender-Pay-Gap-Report-2023.pdf,2023,-39.89,-66.77,-81.78,-84.48,86.72,60.88,100,100,8.55,91.45,34.48,65.52,37.07,62.93,29.41,70.59,27,73,NULL
727,"Department of Enterprise, Trade and Employment",121,NULL,10.86,NULL,11.78,https://enterprise.gov.ie/en/publications/publication-files/report-on-the-gender-pay-gap-in-dete-2023.pdf,2023,11.01,-4.7,-8.03,-4.47,NULL,NULL,NULL,NULL,64.66,53.34,58.19,41.81,57.08,42.92,48.05,51.95,57,43,NULL
728,DHL Express Ireland,135,40,17,24,21,https://www.dhl.com/content/dam/dhl/local/ie/core/documents/pdf/ie-gender-pay-gap.pdf,2023,8,12,NULL,NULL,100,98,56,61,62,38,54,46,34,66,31,69,45,55,NULL
729,Doyle Collection,138,68.7,19.7,-29.4,6.7,https://www.doylecollection.com/blog/gender-pay-gap-report-2023,2023,0.4,0,4.8,0,6.7,9.2,NULL,NULL,59,41,57,43,57,43,40,60,NULL,NULL,NULL
730,Dunnes Stores,146,65.3,10.6,6.9,-1.1,https://dunnes.btxmedia.com/pws/client/pdf/dunnes-stores-gender-pay-gap-report-2023.pdf,2023,-5.2,-3.1,35.8,33.9,83,77,100,100,60,40,61,39,63,37,62,38,NULL,NULL,NULL
