id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
239,Kerry Group,244,-5.9,6.4,13,5.2,https://www.kerry.com/content/dam/kerry/en/pdf/about/policies-and-statements/irish-gender-pay-report-2022.pdf,2022,-7.8,27.5,-15.9,-9.8,26,22.4,0.5,1.2,44.5,55.5,34.2,65.8,31.7,68.3,37.7,62.3,NULL,NULL,NULL
240,Keywords International Ltd. (Dublin Studio),245,10,2.8,0,2.8,https://www.keywordsstudios.com/download/file/b3lkRTErd3FqSnNRbHRFQ0EyeGFOQT09/OUR-GENDER-PAY-GAP-REPORT/,2022,-4,-1,-29.5,-17.5,48,53,11,13,49,51,47,53,44,56,38,62,44,56,NULL
241,Kildare County Council,246,NULL,-0.07,NULL,-7.23,https://kildarecoco.ie/YourCouncil/Publications/Kildare%20County%20Council%20Gender%20Pay%20Gap%20Report%20Final.pdf,2022,-6.35,-7.41,21.47,22.38,NULL,NULL,2.31,2.74,44.73,55.27,27.11,72.89,57.97,42.03,43.96,56.04,43,57,NULL
242,Kilkenny County Council,247,NULL,-0.72,NULL,1.88,https://www.kilkennycoco.ie/eng/publications/council_publications/gender-report-2022-002-.pdf,2022,-9.8,-11.23,16.84,23.71,NULL,NULL,NULL,NULL,44.94,55.06,21.91,78.09,20.79,79.21,43.26,56.74,32,68,NULL
243,Kilsaran Concrete,248,18.05,-0.61,-11.94,-7.15,https://www.kilsaran.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022-with-Cover.pdf,2022,-27.91,-20.65,24.78,17,64.18,69.61,22.39,18,17.07,82.93,3.05,96.95,6.71,93.29,14.02,85.98,10.21,89.79,NULL
244,Kingspan Limited,249,59.9,12.8,38,-0.9,https://www.kingspan.com/content/dam/kingspan/kip-west/documents/kingspan-insulated-panels-gender-pay-report-en-ie.pdf,2022,NULL,NULL,NULL,NULL,93.6,89.7,NULL,NULL,18,82,3,97,9,91,17,83,16,84,NULL
245,KPMG (excluding partners),250,13.9,6.9,-105,-7.5,https://assets.kpmg.com/content/dam/kpmg/ie/pdf/2023/01/ie-kpmg-ireland-gender-pay-gap-report-2022-2.pdf,2022,20.9,14.7,3.5,1.7,81,80,100,100,48.8,51.2,47.9,52.1,54.5,45.5,45.8,54.2,49,51,NULL
246,Kyte Powertech Limited,251,-25,1.2,-14,6.5,https://www.kytepowertech.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,14.26,12.83,0.9,0,68,78,25,7,17,83,14,86,18,82,29,71,NULL,NULL,NULL
247,L'Oreal,252,54,36,57,36,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/7-local-country-folder/uk/documents/final--loreal-irish-gender-pay-gap-report-2022avec-compression.pdf?rev=af359ff65fbb45859863313170a88941,2022,48,51,15,29,94,97,25,68,95,5,91,9,87,13,78,22,88,12,NULL
248,Lakeland Dairies,253,31,14.1,-12.3,9.1,https://www.lakeland.ie/images/uploads/website/Lakeland_Dairies_Gender_Pay_Gap_Report_2022.pdf,2022,-19.5,19.6,7.4,2.9,34.1,30.5,100,100,39,61,22.6,77.4,15.2,84.8,26.8,73.2,26,74,NULL
249,Laois County Council,254,NULL,5.5,NULL,1.36,https://laois.ie/wp-content/uploads/Gender-Pay-Gap-Report-2022.pdf,2022,-1.7,0,21.57,17.3,NULL,NULL,NULL,NULL,56.72,43.28,38.81,61.19,44.03,55.97,47.76,52.24,47,53,NULL
250,Laya Healthcare,255,55.2,28.8,24,21.8,https://www.layahealthcare.ie/media/site/pdfs/Gender-Pay-Gap-2022.pdf,2022,-40.2,-26.7,29.3,-8.8,94.9,92,87.3,85.3,79.6,20.4,82.4,17.6,72.5,27.5,58.8,41.2,73.3,26.7,NULL
251,Legal Aid Board,256,NULL,10.07,NULL,15.06,https://www.legalaidboard.ie/en/about-the-board/press-publications/gender-pay-gap-reporting/gender-pay-gap-report-january.pdf,2022,-1.28,-0.86,-13.28,-15.96,NULL,NULL,NULL,NULL,81.6,18.4,83.2,16.8,84.55,15.45,76.8,23.2,81.5,18.5,NULL
252,Leitrim County Council,257,NULL,-4.95,NULL,-10.97,http://leitrimcoco.ie/eng/news/leitrim-county-council-gender-pay-gap-report-2022.pdf,2022,-0.87,2.97,2.98,9.12,NULL,NULL,0,0,20.65,79.35,21.51,78.49,50,50,37.23,62.77,32,68,NULL
253,Lidl,258,8.3,7.9,10.7,4.1,https://www.lidl.ie/static/assets/GenderPayGapReport2022_FINALDEC29-v2-337667.pdf,2022,3.1,3,-0.1,-1.8,4,5.7,25.8,26.9,53,47,48,52,42,58,38,62,NULL,NULL,NULL
254,Limerick City & County Council,259,NULL,6.02,NULL,-1.37,https://www.limerick.ie/sites/default/files/media/documents/2022-12/Gender%20Pay%20Gap%20Report%202022..pdf,2022,-2.79,2.33,-35.79,-31.23,NULL,NULL,0,0.24,52.24,47.46,27.27,72.73,43.87,56.13,36.97,63.03,40,60,NULL
255,Linesight,260,42.19,20.75,0,17.56,https://assets.ctfassets.net/1lsus2dflm8x/4g1pfOaIFRNKhYaCl7up9L/89a7f76bee2e6588312eb1ad012c4fa1/Gender_Pay_Gap_Report_-_FINAL_21122022.pdf,2022,-6.9,20.96,37.06,-8.89,77.78,84.26,30.86,24.37,41,59,30,70,19,81,27,73,NULL,NULL,NULL
256,Longford County Council,261,NULL,2.08,NULL,-10.14,https://www.longfordcoco.ie/your-council/policy-and-publications/gender%20pay%20gap%20report%202023/previous-gender-pay-gap-reports/longford-county-council-gender-pay-gap-report-2022-.pdf,2022,-13.2,-9.8,5.9,-20.35,NULL,NULL,NULL,NULL,39.39,60.61,25.77,74.23,60.61,39.39,44.9,55.1,43,57,NULL
257,Louth County Council,262,NULL,3.26,NULL,3.03,https://www.louthcoco.ie/en/publications/other-reports/louth-county-council-gender-pay-gap-report-20221.pdf,2022,0.99,2.99,2.68,0.92,NULL,NULL,NULL,NULL,53.06,46.94,30.1,69.9,39.29,60.71,37.24,62.76,40,60,NULL
258,M&S Ireland,263,14.7,4.2,11.9,0.8,https://corporate.marksandspencer.com/sites/marksandspencer/files/marks-spencer/investor/Gender%20Pay%20Gap%20Report%20Ireland%202022%20Final.pdf,2022,-7.7,-4.5,2.2,1.9,88.9,89.1,NULL,NULL,68.9,31.1,76.1,23.9,71,29,69.9,30.1,71,29,NULL
259,Magna International Autolaunch Ireland Limited,264,-59.58,-2.89,-603.92,-4.59,https://web.archive.org/web/20230608143022/https://www.magna.com/docs/default-source/ireland-pay-legislation/autolaunch-gender-pay-gap-reporting-results-2022.pdf?sfvrsn=b926feef_9,2022,0,0,0,0,52.38,64.12,4.76,5.56,3.51,96.49,4.42,95.58,5.31,94.69,5.31,94.69,5.4,94.6,NULL
260,Marsh Employee Benefits Ltd,265,80.2,45.5,19.6,13.5,https://info.marsh.com/l/395202/2022-12-22/chxzr1/395202/1671714801TbZ5G7V7/Marsh_Ireland_Gender_Pay_Gap_Report.pdf,2022,49.4,55.8,100,100,90.1,88,93.3,92.3,50,50,67.1,32.9,51.4,48.6,26,74,49,51,NULL
261,Mary Immaculate College,266,NULL,14.36,NULL,28.43,https://www.mic.ul.ie/about-mic/governance-at-mic/gender-pay-gap-report?index=3,2022,-93.72,-78.22,-16.22,-30.72,NULL,NULL,7,7,73,27,86,14,71,29,54,46,NULL,NULL,NULL
262,"Mason, Hayes & Curran (incl. partners)",267,44,50,39,24,https://www.mhc.ie/uploads/documents/MHC-Gender-Pay-Gap-Report-2022.pdf,2022,-5,-14,-4,0,77,63,61,51,66,34,79,21,58,42,43,57,67,33,NULL
263,Mastercard Ireland,268,28.4,15.6,22.6,19.6,https://www.mastercard.ie/content/dam/public/mastercardcom/eu/ie/vision/Other/Ireland_GPG2022.pdf,2022,NULL,NULL,NULL,NULL,72.8,73.1,91.8,93.5,31.4,68.6,44.1,55.9,27.1,72.9,22,78,NULL,NULL,NULL
264,Matheson: Matheson LLP (including partners),269,81,61,73,24,https://www.matheson.com/docs/default-source/about-us/matheson-gender-pay-gap-report-december-2022.pdf?sfvrsn=2c06f339_2,2022,35,41,-5,0,91,90,6,7,67,33,70,30,73,27,43,57,65,35,NULL
265,Matheson: Support Services (including partners),270,87,37,42,26,https://www.matheson.com/docs/default-source/about-us/matheson-gender-pay-gap-report-december-2022.pdf?sfvrsn=2c06f339_2,2022,NULL,NULL,-5,-72,90,86,4,14,57,43,88,12,65,35,38,62,NULL,NULL,NULL
266,Maynooth University,271,NULL,16.99,NULL,24.14,https://www.maynoothuniversity.ie/sites/default/files/filefield_paths/GPG%20Report%20MU%202022.pdf,2022,16.89,4.34,14.03,9.39,NULL,NULL,0,0,67.2,32.8,67.52,32.48,52.26,47.74,45.81,54.19,NULL,NULL,NULL
267,Mayo County Council,272,NULL,-2.19,NULL,-4.83,https://www.mayo.ie/getmedia/c5daffde-db54-4366-8df6-19c67f1f4a5a/Gender-Pay-Gap-Report.pdf,2022,-1.65,0.23,6.24,-3.48,NULL,NULL,NULL,NULL,36.49,63.51,30.95,69.05,35.69,64.31,45.27,54.73,37,63,NULL
268,McKesson Ireland (acquired by Phoenix Group),274,65.81,22.96,42.49,5.01,https://issuu.com/lloydspharmacyireland/docs/gender_pay_reporting_published_36_,2022,11,-3.1,NULL,NULL,75,77,17.49,15.8,80,20,69,31,79,21,63,37,73,27,NULL
