year,meanBonus,meanHourly,medianBonus,medianHourly,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale
2022,-6,-3,-57,-5.8,NULL,NULL,NULL,NULL,94,88,6,23
2022,-0.1,9.52,0,1.9,24,27,-0.15,-2.6,89,84,88,86
2022,-0.1,0.7,-7,6.2,NULL,NULL,11,36,97,94,57,65
2022,18.2,17.9,18.4,18,0,0,0,0,95.4,96.4,NULL,NULL
2022,70.18,10.83,18.18,-1.71,27.15,5.71,-24.9,-8.39,0.52,3.25,0.35,0.65
2022,34.9,16.7,20.8,12.4,0,0,1.8,2.6,84.1,86.1,NULL,NULL
2022,26.2,15.4,-1.9,13.8,-7.3,-5.1,1.8,2.6,93.1,88.2,NULL,NULL
2022,NULL,2.07,NULL,1.84,26.14,17.75,30.12,59.34,NULL,NULL,NULL,NULL
2022,NULL,0.76,NULL,0.09,-54.3,-35.5,-4.7,-0.99,NULL,NULL,NULL,NULL
2022,NULL,-3.56,NULL,-5.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,48,26,17,23,NULL,NULL,NULL,NULL,91,90,86,90
2022,41.9,23.1,42.5,19.3,NULL,NULL,NULL,NULL,77.1,84.2,100,100
2022,NULL,8.7,NULL,12.7,7.9,15.1,-0.9,0,NULL,NULL,NULL,NULL
2022,NULL,-6.32,NULL,-12.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,43.2,29.2,26.7,29.4,NULL,NULL,38.5,40.4,95.5,91.3,33.9,32.5
2022,3.6,3.1,-3.6,8.1,23.4,33.7,27.7,-19,97.4,97.4,100,100
2022,43.8,16.3,38,12.4,-133.8,-50.5,18.7,23.4,74.1,75.3,77.8,80.5
2022,NULL,14.6,NULL,0.7,NULL,NULL,0.9,19.1,NULL,NULL,NULL,NULL
2022,NULL,8.61,NULL,1.75,1.27,0.54,NULL,NULL,NULL,NULL,NULL,NULL
2022,45.75,22,56.62,25.08,-73.56,-20.12,6.03,8.3,89.72,89.61,93.25,93.39
2022,7.7,2.5,17.7,0.2,-0.1,-0.2,0,0.2,96.2,94.7,4.8,7.1
2022,9.6,5.4,11.7,9.3,7.8,-0.1,-21.4,-41.6,95.4,97,88.6,91.3
2022,6,8,15,11,59,60,41,25,86.1,83.3,85.1,87.8
2022,NULL,21,NULL,36,-15,-90,49,63,NULL,NULL,0,0.4
2022,NULL,7,NULL,-11,-7,-7,10,24,NULL,NULL,NULL,NULL
2022,10,13.3,-3.5,11.1,-162.4,-153.5,-11.9,-3.3,71.1,79.6,79.7,84.4
2022,51,14.7,32.1,9.8,13.7,24.2,-15.3,-1,92.6,1.3,49.1,50.6
2022,NULL,20.8,NULL,19.52,36.24,16.11,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,2,NULL,1.4,-5.2,-1.16,NULL,NULL,NULL,NULL,NULL,NULL
